,player_id,pretty_name,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp
2474,3179,Carlton Cole,1983-10-12,Attack,Right,191,,8100000.0
2475,223263,Darnell Fisher,1994-04-04,Defender,Right,175,720000.0,720000.0
2476,134414,Tyler Blackett,1994-04-02,Defender,Left,191,900000.0,1800000.0
2477,36802,Colin Kazim Richards,1986-08-26,Attack,Right,187,450000.0,4500000.0
2478,54160,Guilherme,1988-10-22,Midfield,Both,174,,8100000.0
2479,268081,Halil Ibrahim Tuna,1993-04-09,Attack,Left,176,,450000.0
2480,7445,Can Arat,1984-01-21,Defender,Right,191,,1170000.0
2481,52192,Kallum Higginbotham,1989-06-15,Attack,Right,180,,405000.0
2482,71273,Stefan Scepovic,1990-01-10,Attack,Right,186,,2250000.0
2483,37736,Aydin Yilmaz,1988-01-29,Attack,Right,179,,2250000.0
2484,6590,Andreas Isaksson,1981-10-03,Goalkeeper,Right,196,,5400000.0
2485,33797,Kerem Seras,1984-01-01,Midfield,Right,175,,1620000.0
2486,65692,Tope Obadeyi,1989-10-29,Attack,Right,182,,360000.0
2487,396898,Caner Ozden,1996-05-04,Midfield,,0,,
2488,123539,Darryl Westlake,1991-03-01,Defender,Right,181,,135000.0
2489,83902,Hasan Demir,1990-08-28,Goalkeeper,Right,184,,180000.0
2490,305977,Aaron Splaine,1996-10-13,Midfield,Right,180,,113000.0
2491,362559,Jack Whittaker,1997-09-08,Midfield,Right,180,,
2492,11360,Lee Mcculloch,1978-05-14,Defender,Right,185,,3150000.0
2493,130729,Craig Slater,1994-04-26,Midfield,Right,178,,270000.0
2494,137154,Alex Henshall,1994-02-15,Midfield,Left,177,,90000.0
2495,213114,Chris Johnston,1994-09-03,Midfield,Both,163,,158000.0
2496,435205,Lewis Clark,1998-02-12,Defender,Right,0,,
2497,129971,Dale Carrick,1994-01-07,Attack,Right,180,,158000.0
2498,60905,Conrad Balatoni,1991-01-27,Defender,Right,184,,338000.0
2499,12758,Jamie Hamill,1986-07-29,Defender,Right,173,,675000.0
2500,210854,Ross Barbour,1993-02-01,Defender,Right,0,,180000.0
2501,244255,Adam Hodge,1997-01-31,Defender,,182,,
2502,45775,Nauzet Aleman,1985-02-25,Attack,Right,181,,2700000.0
2503,353096,Stephane Serbourdin,1995-05-18,Defender,,0,,90000.0
2504,20351,Sanharib Malki,1984-03-01,Attack,Right,179,,2880000.0
2505,425571,Carlos Gonzalez,1997-05-20,Attack,,0,,135000.0
2506,420330,Jeremy Betancor,1998-09-10,Attack,,180,,
2507,282725,Dani Lorenzo,1993-04-20,Goalkeeper,,188,,
2508,7501,Juan Carlos Valeron,1975-06-17,Midfield,Right,186,,18000000.0
2509,23218,Javier Garrido,1985-03-15,Defender,Left,179,,4050000.0
2510,12703,Kevin Thomson,1984-10-14,Midfield,Right,180,,4500000.0
2511,57530,Thomas Konrad,1989-11-05,Defender,Right,187,,225000.0
2512,30846,Emmanuel Culio,1983-08-30,Midfield,Left,176,,3600000.0
2513,177003,Omer Kandemir,1993-07-03,Defender,Right,172,,360000.0
2514,53556,Erman Kilic,1983-09-20,Midfield,Left,166,,3330000.0
2515,43260,Gary Irvine,1985-03-17,Defender,Right,178,,450000.0
2516,29414,Gary Harkins,1985-01-02,Midfield,Right,188,,675000.0
2517,42609,Simon Ferry,1988-01-11,Midfield,Right,175,,158000.0
2518,160354,Philip Roberts,1994-04-07,Attack,,180,,225000.0
2519,72989,Luka Tankulic,1991-06-21,Midfield,Both,182,,203000.0
2520,243668,Riccardo Calder,1996-01-26,Defender,Left,183,,135000.0
2521,36756,Miguel Pallardo,1986-09-05,Midfield,Right,174,,2250000.0
2522,363330,Josh Skelly,1997-04-11,Attack,Left,178,,
2523,223971,Gary Oliver,1995-07-14,Attack,Left,178,,135000.0
2524,130841,Kevin Mchattie,1993-07-15,Defender,Left,181,,225000.0
2525,139190,Kenny Anderson,1992-02-14,Midfield,Right,180,,315000.0
2526,154949,Daryll Meggatt,1990-10-20,Defender,Left,178,,225000.0
2527,291749,Cagri Bulbul,1992-02-01,Midfield,Right,176,,135000.0
2528,85339,Ozkan Karabulut,1991-01-16,Goalkeeper,Right,190,,495000.0
2529,95364,Panajotis Dimitriadis,1986-08-12,0,Right,181,,720000.0
2530,33796,Doga Kaya,1984-06-30,Midfield,Right,177,,1260000.0
2531,74639,Hikmet Balioglu,1990-08-04,Defender,Right,188,,1080000.0
2532,100750,Stewart Murdoch,1990-12-17,Defender,Right,183,,248000.0
2533,185465,Darren Holden,1993-08-27,Defender,Left,180,,45000.0
2534,59471,Chris Konopka,1985-04-14,Goalkeeper,Right,197,,135000.0
2535,197143,Kyle Macleod,1995-06-07,Attack,,183,,
2536,42611,Rocco Quinn,1986-09-07,Midfield,Right,180,,495000.0
2537,171402,Arturo Rodriguez,1989-04-30,Attack,Right,188,,270000.0
2538,251827,Gokhan Yilmaz,1991-01-19,Defender,Left,180,,630000.0
2539,131977,James Severn,1991-10-10,Goalkeeper,,189,,45000.0
2540,37677,David Goodwillie,1989-03-28,Attack,Right,175,,2250000.0
2541,60767,Josh Law,1989-07-20,Defender,Right,181,,180000.0
2542,130230,Jake Taylor,1991-12-01,Midfield,Right,178,180000.0,450000.0
2543,399136,Giray Aydin,1997-08-29,Attack,,0,,
2544,23817,Dan Twardzik,1991-04-13,Goalkeeper,Left,185,,135000.0
2545,38041,Walid Atta,1986-08-28,Defender,Right,188,,540000.0
2546,170424,Liam Hughes,1992-08-10,Midfield,,193,,
2547,114062,Dani Lopez,1985-10-25,Attack,Right,187,,90000.0
2548,235687,Ryan Williams,1991-04-08,Midfield,Right,178,,203000.0
2549,46567,Nat Wedderburn,1991-06-30,Midfield,Left,194,,225000.0
2550,199553,Jack Leitch,1995-07-17,Midfield,Left,170,,90000.0
2551,169931,Conor Brennan,1994-03-30,Goalkeeper,Right,186,,68000.0
2552,21703,Scott Brown,1985-04-26,Goalkeeper,Right,184,,225000.0
2553,39194,Bakary Soro,1985-12-05,Defender,Right,185,,900000.0
2554,54645,Alp Ergin,1987-02-09,Midfield,Right,182,,495000.0
2555,319131,Miguel Munoz,1995-01-26,Defender,,179,,90000.0
2556,30666,Haris Medunjanin,1985-03-08,Midfield,Left,188,,2700000.0
2557,73314,Jordi Xumetra,1985-10-24,Attack,Right,177,,2700000.0
2558,333347,Ander Gayoso,1993-07-20,Defender,Left,171,,225000.0
2559,74954,Saul Berjon,1986-05-24,Attack,Right,178,,2700000.0
2560,51559,Mikel Arruabarrena,1983-02-09,Attack,Right,188,,1350000.0
2561,34166,Gorkem Gork,1983-06-30,Defender,Right,193,,405000.0
2562,13038,Arthur Boka,1983-04-02,Defender,,0,,4500000.0
2563,27448,Marcos Angeleri,1983-04-07,Defender,Right,183,,3380000.0
2564,278357,David Goldar,1994-09-15,Defender,Right,182,,315000.0
2565,223781,Nestor Diaz,1992-06-26,Goalkeeper,Right,183,,270000.0
2566,44027,Ikechukwu Uche,1984-01-05,Attack,Right,174,,4500000.0
2567,109008,Flavio Ferreira,1991-10-19,Defender,Right,180,,2250000.0
2568,53350,Egor Filipenko,1988-04-10,Defender,Right,194,,1800000.0
2569,58070,Diego Mainz,1982-12-29,Defender,Both,187,,1620000.0
2570,185593,Nicolas Lopez,1993-10-01,Attack,Left,178,,7200000.0
2571,162063,Salva Ruiz,1995-05-17,Defender,Left,177,,630000.0
2572,262554,Clifford Aboagye,1995-02-11,Midfield,Right,163,,2700000.0
2573,255493,Imanol Corral,1994-03-19,Defender,Left,180,,
2574,238865,Eddy Silvestre,1992-08-02,Midfield,Right,191,,630000.0
2575,37892,Ion Ansotegi,1982-07-13,Defender,Right,192,,2700000.0
2576,89618,Xabi Irureta,1986-03-21,Goalkeeper,Right,179,,1800000.0
2577,51504,Jaime Jimenez,1980-12-10,Goalkeeper,,187,,1350000.0
2578,158849,Jon Errasti,1988-06-06,Midfield,Right,181,,1350000.0
2579,255496,Asier Etxaburu,1994-04-07,Midfield,Left,181,,225000.0
2580,248870,Jorge Mediavilla,1993-06-16,Goalkeeper,,188,,135000.0
2581,101742,Angel Trujillo,1987-09-08,Defender,Right,177,,2700000.0
2582,7542,Juanfran,1976-07-15,Defender,Left,182,,6750000.0
2583,35540,Victor Casadesus,1985-02-28,Attack,Right,180,,2700000.0
2584,51311,Anel Hadzic,1989-08-16,Midfield,Right,184,,900000.0
2585,211395,Mauricio Cuero,1993-01-28,Attack,Right,178,,3150000.0
2586,253153,Alvaro Traver,1993-04-01,Attack,Right,187,,450000.0
2587,287964,Ben Hall,1997-01-16,Defender,Right,185,,90000.0
2588,58281,Simao,1988-06-23,Defender,Right,180,,4050000.0
2589,42935,Nikolaos Karabelas,1984-12-20,Defender,Left,178,,1350000.0
2590,231316,Axel Meye,1995-06-06,Attack,Right,177,,518000.0
2591,62941,Jordi Figueras,1987-05-16,Defender,Left,185,,2250000.0
2592,16402,Theofanis Gekas,1980-05-23,Attack,,0,,6300000.0
2593,133100,Aytac Oden,1991-08-26,Defender,Right,0,,270000.0
2594,33668,Guido Kocer,1988-09-15,Attack,Left,175,,1800000.0
2595,215,Roque Santa Cruz,1981-08-16,Attack,Right,193,225000.0,10800000.0
2596,380998,Leandro Junio,1997-06-12,Midfield,Left,175,,45000.0
